Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
35576202,SGH-D780
35576402,SGH-D888
35576502,SGH-D880
35577702,SGH-B520
35578901,SGH-E250
35579501,SGH-T819
35581101,SGH-M610
35584302,A867 Eternity
35585301,SGH-E250
35585701,SGH-F200
35586901,SGH-Z248
35588102,SGH-T429
35597401,SGH-C420
35599002,U900 Soul
35599201,SGH-A737
35599601,SGH-C500
35599801,SGH-U600
35601403,SGH-C270
35602500,SGH-X486
35602901,SGH-X650
35603001,SGH-E900
35603101,SGH-E250
35603201,SGH-E250
35604102,SGH-I900 Omnia
35607001,SGH-E250
35607501,SGH-E250
35607601,SGH-E250
35608300,SGH-E700
35608302,SGH-F400
35614302,SGH-B520
35615102,SGH-E250
35615202,SGH-E250
35615302,SGH-E250
35615402,SGH-E250
35615901,SGH-P260
35616600,SGH-C210
35617401,SGH-i620
35618102,SGH-F480
35620401,SGH-J610
35624901,SGH-A706
35626300,SGH-E720
35626900,SGH-X450
35632502,M8800 Pixon
35634101,SGH-P520 Armani
35634702,T459 Gravity
35635902,M7500 Emporio Armani
35636101,SGH-A437
35636301,SGH-C180
35636401,SGH-T639
35637301,SGH-E950
35645600,SGH-Z500
35650301,SGH-F210
35652801,SGH-C170
35653802,SGH-S3600
35654301,SGH-E840
35655501,SGH-M300
35655601,SGH-M300
35659401,SGH-J750
35660301,SGH-L760
35660302,SGH-F275
35660401,SGH-L760
35660901,SGH-C450
35664202,SGH-B270
35669100,SGH-X640
35669802,SGH-M110
35670001,SGH-E250
35670201,SGH-C260
35671203,SGH-S5230
35675800,SGH-C230
35677101,SGH-F330
35677301,SGH-G600
35681200,SGH-E608
35681800,SGH-P207
35693201,SGH-C160
35693900,SGH-X497
35694302,SGH-E210
35695001,SGH-T509
35699000,SGH-E335
35702400,SGH-E350
35702701,SGH-A411
35704501,SGH-J200
35710201,SGH-U100 Ultra Edition II
35711701,SGH-T439
35713202,SGH-M310
35713302,SGH-C260
35713901,SGH-M300
35714001,SGH-M300
35716700,SGH-C230
35717201,SGH-J600
35717301,SGH-D880
35717801,SGH-D880
35724102,SGH-E2510
35724202,SGH-U700
35724601,SGH-I617 BlackJack2
35725901,SGH-C160
35727001,SGH-F110 Adidas miCoach
35728300,SGH-C210
35729001,SGH-G810
35734200,SGH-X490
35734802,SGH-U700
35735301,SGH-i450
35737801,SGH-J400
35741200,SGH-X130
35742901,SGH-B500
35744502,SGH-M150
35744701,SGH-A707
35744801,SGH-C140
35744901,SGH-C260
35745000,SGH-X480
35745001,SGH-C300
35745101,SGH-E250
35745301,SGH-M300
35745401,SGH-X510
35745501,SGH-I780
35748201,SGH-i550
35750701,SGH-C170
35754801,SGH-C520
35755101,SGH-I616 Jack
35757202,J800 Luxe
35757702,T459 Gravity
35759602,SGH-B320
35768003,SGH-C3050
35771400,SGH-X200
35772302,SGH-J700
35772402,SGH-D900i
35775500,SGH-X156
35780000,SGH-Z320i
35780502,SGH-L700
35780602,SGH-J700
35781302,SGH-F480
35785401,SGH-E250
35785501,SGH-X160
35791002,SGH-C170
35793501,SGH-U600
35793601,SGH-M600
35794801,SGH-E200
35795103,S5230 Star
35795203,S5230 Star
